,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,두산밥캣,"41,350","41,650","40,150",950,2.35%,334.30K,11월 29일,
,교촌에프앤비,"10,550","10,850","10,350",-600,-5.38%,331.78K,11월 29일,
,진에어,"13,600","13,750","12,950",500,3.82%,330.97K,11월 29일,
,현대해상,"29,750","29,800","29,300",300,1.02%,324.96K,11월 29일,
,금호에이치티,"1,005","1,010",996,7,0.70%,323.57K,11월 29일,
,대원강업,"3,415","3,455","3,360",-85,-2.43%,314.78K,11월 29일,
,신풍제약,"22,000","22,450","21,450",0,0.00%,313.98K,11월 29일,
,한화손해보험,"4,175","4,185","3,980",150,3.73%,312.46K,11월 29일,
,콘텐트리중앙,"27,850","28,300","26,950",0,0.00%,294.30K,11월 29일,
,쌍용C&E,"6,000","6,010","5,940",20,0.33%,293.79K,11월 29일,
,한화시스템,"11,550","11,600","11,300",150,1.32%,291.46K,11월 29일,
,문배철강,"3,700","3,735","3,555",65,1.79%,290.05K,11월 29일,
,국동,"1,220","1,230","1,165",40,3.39%,288.12K,11월 29일,
,SK이노베이션,"175,000","176,500","170,500",500,0.29%,285.49K,11월 29일,
,HSD엔진,"7,610","7,620","7,330",160,2.15%,284.86K,11월 29일,
,두산퓨얼셀,"34,600","34,700","33,700",-100,-0.29%,283.48K,11월 29일,
,YG PLUS,"4,305","4,320","4,125",125,2.99%,282.97K,11월 29일,
,에이프로젠제약,505,512,496,5,1.00%,282.08K,11월 29일,
,현대제철,"33,550","33,550","32,550",750,2.29%,280.68K,11월 29일,
,대창,"1,295","1,300","1,260",0,0.00%,279.86K,11월 29일,
,한국가스공사,"34,000","34,150","33,600",-150,-0.44%,279.58K,11월 29일,
,LG이노텍,"299,000","301,500","293,500",-5500,-1.81%,279.20K,11월 29일,
,성안,958,965,930,-1,-0.10%,276.42K,11월 29일,
,LG엔솔,"567,000","568,000","558,000",5000,0.89%,275.96K,11월 29일,
,NH투자증권,"9,490","9,530","9,360",110,1.17%,275.08K,11월 29일,
,SG세계물산,548,548,536,4,0.74%,274.48K,11월 29일,
,대원전선,"1,260","1,270","1,230",0,0.00%,273.83K,11월 29일,
,CJ CGV,"17,800","17,800","16,700",750,4.40%,271.34K,11월 29일,
,KC그린홀딩스,"3,295","3,310","3,150",30,0.92%,267.48K,11월 29일,
,대현,"2,370","2,380","2,300",40,1.72%,264.00K,11월 29일,
,JB금융지주,"8,280","8,320","8,110",110,1.35%,263.09K,11월 29일,
,포스코케미칼,"222,500","225,000","221,000",1000,0.45%,257.84K,11월 29일,
,DN오토모티브,"75,300","75,400","65,600",9400,14.26%,256.97K,11월 29일,
,코스맥스,"63,500","64,000","57,900",5900,10.24%,254.71K,11월 29일,
,티웨이홀딩스,535,536,513,13,2.49%,253.54K,11월 29일,
,다올투자증권,"3,190","3,195","2,975",140,4.59%,252.73K,11월 29일,
,삼성전기,"134,500","135,000","130,500",2500,1.89%,252.15K,11월 29일,
,KC코트렐,"2,595","2,595","2,510",15,0.58%,252.15K,11월 29일,
,자화전자,"23,900","24,450","23,800",-650,-2.65%,242.78K,11월 29일,
,KG스틸,"9,070","9,070","8,810",210,2.37%,242.56K,11월 29일,
,ESR켄달스퀘어리츠,"4,000","4,045","3,945",-20,-0.50%,239.32K,11월 29일,
,동양철관,"1,055","1,055","1,035",10,0.96%,236.30K,11월 29일,
,광명전기,"2,425","2,520","2,370",25,1.04%,232.67K,11월 29일,
,하이스틸,"4,440","4,455","4,265",80,1.83%,232.09K,11월 29일,
,대덕전자,"23,350","23,550","22,800",50,0.21%,231.32K,11월 29일,
,코웨이,"55,500","56,100","54,300",-700,-1.25%,231.05K,11월 29일,
,이아이디,"1,020","1,030","1,005",0,0.00%,230.30K,11월 29일,
,웅진,"1,220","1,225","1,185",20,1.67%,227.75K,11월 29일,
,한국카본,"11,800","11,900","11,600",50,0.43%,225.90K,11월 29일,
,진흥기업,"1,320","1,320","1,295",15,1.15%,225.84K,11월 29일,
,평화산업,"1,400","1,440","1,380",0,0.00%,222.43K,11월 29일,
,POSCO홀딩스,"293,500","296,000","292,000",-500,-0.17%,221.77K,11월 29일,
,세진중공업,"5,850","5,940","5,740",-30,-0.51%,220.59K,11월 29일,
,오리엔트바이오,644,650,628,4,0.63%,216.03K,11월 29일,
,한화투자증권,"2,600","2,610","2,545",35,1.36%,214.58K,11월 29일,
,OCI,"95,100","95,800","93,100",100,0.11%,214.19K,11월 29일,
,SK텔레콤,"49,800","50,100","49,700",-100,-0.20%,208.97K,11월 29일,
,HLB글로벌,"6,670","6,800","6,560",-10,-0.15%,207.04K,11월 29일,
,SK스퀘어,"36,650","36,850","36,000",200,0.55%,205.26K,11월 29일,
,셀트리온,"176,500","177,500","171,500",3500,2.02%,203.83K,15:59:43,
,LIG넥스원,"92,000","93,600","90,700",1100,1.21%,203.81K,11월 29일,
,우진,"9,410","9,530","9,320",60,0.64%,203.55K,11월 29일,
,LS전선아시아,"8,000","8,110","7,890",10,0.13%,203.12K,11월 29일,
,남해화학,"9,000","9,030","8,940",-40,-0.44%,203.05K,11월 29일,
,화신,"9,130","9,170","8,950",130,1.44%,202.56K,11월 29일,
,씨아이테크,938,949,920,-2,-0.21%,201.90K,11월 29일,
,태경산업,"7,210","7,280","7,040",100,1.41%,200.92K,11월 29일,
,세방,"25,350","26,200","24,800",-50,-0.20%,200.81K,11월 29일,
,우신시스템,"3,295","3,310","3,115",150,4.77%,200.49K,11월 29일,
,이월드,"1,660","1,665","1,635",10,0.61%,200.31K,11월 29일,
,디아이씨,"4,155","4,400","4,050",15,0.36%,199.28K,11월 29일,
,아남전자,"1,865","1,875","1,825",20,1.08%,196.32K,11월 29일,
,화승코퍼레이션,"1,665","1,665","1,555",70,4.39%,192.61K,11월 29일,
,삼성생명,"70,700","70,700","69,600",1000,1.43%,190.86K,11월 29일,
,콤텍시스템,678,679,664,4,0.59%,190.72K,11월 29일,
,남성,"2,235","2,255","2,150",0,0.00%,190.36K,11월 29일,
,현대건설기계,"61,600","62,900","61,200",-900,-1.44%,189.18K,11월 29일,
,부국철강,"3,660","3,660","3,510",80,2.23%,188.73K,11월 29일,
,롯데리츠,"3,930","3,980","3,850",30,0.77%,187.91K,11월 29일,
,대유플러스,870,876,848,14,1.64%,186.18K,11월 29일,
,유니켐,"1,265","1,265","1,230",25,2.02%,185.33K,11월 29일,
,씨에스윈드,"76,800","78,100","76,500",-300,-0.39%,184.60K,11월 29일,
,참엔지니어링,835,839,815,-4,-0.48%,184.01K,11월 29일,
,티에이치엔,"3,700","3,710","3,560",85,2.35%,183.65K,11월 29일,
,삼성물산,"121,000","122,000","119,000",1500,1.26%,183.24K,11월 29일,
,한진칼,"39,900","41,750","39,300",400,1.01%,183.15K,11월 29일,
,고려산업,"4,195","4,200","4,135",-10,-0.24%,182.45K,11월 29일,
,현대약품,"4,760","4,790","4,680",20,0.42%,180.96K,11월 29일,
,NH올원리츠,"3,140","3,180","3,100",15,0.48%,180.54K,11월 29일,
,넥센타이어,"6,950","6,980","6,810",40,0.58%,180.22K,11월 29일,
,에스디바이오센서,"32,950","33,150","32,200",500,1.54%,180.13K,11월 29일,
,남광토건,"10,300","10,900","9,930",330,3.31%,179.16K,11월 29일,
,하이트진로,"26,150","26,250","25,600",450,1.75%,179.06K,11월 29일,
,동국제강,"13,650","13,750","13,300",200,1.49%,176.39K,11월 29일,
,웰바이오텍,"1,290","1,290","1,265",-5,-0.39%,175.17K,11월 29일,
,에이엔피,"1,775","1,775","1,720",0,0.00%,174.81K,11월 29일,
,DSR제강,"5,830","5,860","5,480",0,0.00%,174.81K,11월 29일,
,가온전선,"17,200","18,100","16,200",650,3.93%,174.78K,11월 29일,
,롯데케미칼,"185,000","186,000","175,500",9500,5.41%,174.20K,11월 29일,
