,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,컨스텔레이션 브랜드,250.61,256.39,250.61,-6.89,-2.68%,348.51K,0:54:13,
,페덱스,177.16,177.21,174.32,3.95,2.28%,346.27K,0:54:10,
,앱티브,102.31,102.95,101.89,0.29,0.28%,335.97K,0:53:52,
,펜 엔터테인먼트,33.88,34.12,33.56,0.21,0.62%,337.73K,0:53:56,
,넷앱,73.01,73.33,72.6,0.44,0.61%,333.45K,0:54:12,
,힐튼 월드와이드,138.29,138.94,137.17,1.29,0.94%,335.00K,0:54:10,
,카디널 헬스,79.14,79.26,78.1,0.68,0.87%,331.89K,0:54:13,
,켈로그,72.23,72.78,72.23,-0.49,-0.67%,331.49K,0:54:09,
,암젠,281.18,283.38,280.76,-1.44,-0.51%,329.53K,0:54:10,
,UDR,40.57,40.57,39.72,0.65,1.63%,325.90K,0:54:00,
,랄프로렌 A,111.73,112.38,108.9,3.79,3.51%,324.42K,0:54:01,
,프로로지스,113.13,113.25,111.26,1.67,1.50%,320.49K,0:53:55,
,몬스터 베버리지,100.72,101.69,100.72,-1.16,-1.14%,319.05K,0:54:03,
,NRG 에너지,41.63,41.64,40.81,0.2,0.48%,321.66K,0:54:02,
,처치앤드와이트,79.85,80.35,78.85,0.36,0.45%,318.59K,0:53:24,
,벤타스,44.95,45.13,44.3,0.78,1.75%,319.97K,0:54:08,
,스탠리 블랙 앤 데커,80.9,80.95,79.59,1.05,1.31%,313.51K,0:54:10,
,크라운 캐슬,138.69,138.99,137.21,1.18,0.85%,309.11K,0:54:07,
,오가논 & Co,24.59,24.71,24.41,-0.07,-0.28%,308.40K,0:54:04,
,인튜이트,381.96,385.27,381.15,-3.68,-0.95%,307.33K,0:54:09,
,맥코믹,82.64,83.64,82.03,-1.11,-1.33%,306.98K,0:53:59,
,마스터카드,343.62,344.4,342.02,-0.97,-0.28%,305.67K,0:54:09,
,볼 코퍼레이션,55.48,55.88,54.73,0.29,0.53%,304.24K,0:53:42,
,디시 네트워크,15.79,15.82,15.45,0.2,1.32%,304.26K,0:54:02,
,웨이스트 매니지먼트,164.75,165.16,163.7,0.16,0.10%,298.31K,0:54:13,
,TE 커넥티비티,124.81,125.41,124.62,0.2,0.16%,296.79K,0:54:05,
,웨스트록,36.52,36.62,36.22,0.3,0.83%,296.54K,0:54:10,
,에스티 로더,217.34,218.49,216.37,0.7,0.32%,293.16K,0:52:49,
,티 로우 프라이스,122.18,122.45,120.34,1.05,0.87%,297.33K,0:54:11,
,버텍스 파마슈티컬,315.12,316.28,312.47,-0.18,-0.06%,292.00K,0:54:14,
,하우멧 에어로스페이스,37.21,37.35,36.99,0.18,0.49%,292.17K,0:53:38,
,시그나,320.01,321.14,318.63,0.51,0.16%,287.74K,0:53:00,
,써모 피셔 사이언티픽,534.1,539.03,533.53,-5.93,-1.10%,291.12K,0:53:26,
,보스턴프로퍼티즈,71.36,71.65,69.6,1.77,2.54%,277.16K,0:53:54,
,셀라니즈,105.19,105.22,101.52,4.42,4.39%,274.77K,0:53:25,
,메리어트인터내셔널,160.83,161.41,159,1.94,1.22%,274.65K,0:54:11,
,시스코,85.86,86.36,85.75,-0.07,-0.09%,272.08K,0:53:59,
,마쉬 앤 맥레넌,169.19,170.1,167.61,0.81,0.48%,268.79K,0:54:00,
,덴츠플라이,30.66,30.79,30.16,0.2,0.64%,266.30K,0:54:04,
,펄티 그룹,44.18,44.21,43.4,0.36,0.82%,261.31K,0:53:35,
,마스코,49.54,49.71,49.17,-0.24,-0.48%,261.29K,0:54:11,
,NXP세미컨덕터즈,165.6,166.26,163.19,1.5,0.92%,262.17K,0:53:55,
,클로락스,146.91,148.95,146.85,-2.12,-1.42%,261.55K,0:54:07,
,파카,104.24,104.79,103.57,0.63,0.61%,259.40K,0:53:39,
,에쿼티 레지덴셜,63.1,63.11,61.91,0.91,1.46%,259.41K,0:54:03,
,오토데스크,192.83,196.53,192.83,-2.52,-1.29%,260.58K,0:54:12,
,뉴코,149.12,150.89,148.05,1.59,1.08%,253.72K,0:53:59,
,PPG 인더스트리즈,132,132.49,130.7,1.7,1.30%,249.81K,0:54:09,
,아리스타 네트웍스,133.22,134.11,132.56,-0.47,-0.36%,250.08K,0:54:07,
,자이언스 뱅코프,50.84,50.95,50.13,0.6,1.20%,246.27K,0:54:00,
,테이크투인터랙티브 소프트웨어,101.17,101.97,100.1,-0.09,-0.09%,246.16K,0:54:08,
,ICE,105.95,106.3,104.79,0.87,0.83%,247.33K,0:53:53,
,디스커버 파이낸셜 서비스,108.33,108.74,106.7,1.48,1.39%,243.94K,0:54:07,
