,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,Icahn Enterprises,50.52,50.87,50.35,-0.19,-0.37%,194.73K,1:03:52,
,Horizon Pharma,78.7,79.27,77.85,0.7,0.90%,200.58K,1:04:17,
,일루미나,212.11,217.51,212.11,-4.8,-2.21%,195.52K,1:04:20,
,Semtech Corp,29.82,29.93,28.99,0.68,2.33%,191.30K,1:04:04,
,SSR Mining,14.65,14.72,14.49,0.31,2.16%,191.84K,1:03:50,
,리버티 글로벌,19.74,19.83,19.48,0.21,1.08%,188.84K,1:04:16,
,Coherent,35.74,36.47,35.73,-0.2,-0.56%,190.09K,1:04:14,
,램리서치,444.81,450.3,444.81,1.58,0.36%,184.53K,1:04:17,
,오토매틱 데이터 프로세싱,257.24,258.71,257.15,-1.09,-0.42%,186.81K,1:04:17,
,Avadel Pharma,7.71,8.065,7.695,-0.24,-3.02%,178.11K,1:03:51,
,아미쿠스 테라,11.57,11.69,11.49,0.04,0.35%,186.17K,1:04:15,
,Curis,0.794,0.815,0.78,-0.016,-1.99%,181.73K,1:03:04,
,Dynavax Tech,11.96,12.035,11.82,0.03,0.25%,179.16K,1:04:03,
,Signature Bank,136.13,137.65,134.34,1.86,1.39%,184.67K,1:04:15,
,LPL Financial,239.07,240.34,235.06,4.09,1.74%,177.44K,1:04:17,
,C.H.로빈슨,97.22,98.69,97.22,-0.45,-0.46%,174.73K,1:03:35,
,Extreme Network,19.72,19.93,19.72,-0.18,-0.90%,174.59K,1:04:20,
,어셋티오 테라,2.925,2.965,2.87,0.055,1.92%,163.73K,1:02:40,
,iCAD Inc,1.79,1.9,1.76,-0.11,-5.79%,161.62K,1:04:17,
,East West Bancorp,67.88,68.39,66.87,0.56,0.82%,162.53K,1:04:16,
,SVB 파이낸셜,220.15,223.26,217.56,2.63,1.21%,161.80K,1:04:20,
,Denny’s,12.23,12.56,12.19,-0.28,-2.28%,156.80K,1:04:17,
,앤시스,240.37,241.33,240.04,-1.38,-0.57%,155.82K,1:03:57,
,Hudson Tech,11.06,11.096,10.685,0.2,1.84%,157.55K,1:03:53,
,KLA Corp,374.29,377.01,374.06,-0.64,-0.17%,159.26K,1:04:13,
,페이첵스,119.61,121.03,119.61,-0.86,-0.71%,156.11K,1:04:03,
,Retail Opp,14.85,14.9,14.54,0.28,1.92%,154.91K,1:04:17,
,Pineapple Holdings,2.952,3.07,2.94,-0.078,-2.56%,150.56K,1:04:12,
,CarpParts.Com,5.28,5.33,5.21,-0.01,-0.19%,153.95K,1:03:53,
,SLM - 셀리 메이,16.92,16.99,16.73,0.16,0.95%,154.13K,1:04:20,
,VBI백신,0.612,0.62,0.6,0.013,2.12%,154.37K,1:04:12,
,Weatherford Intl,43.64,44,43.08,0.82,1.92%,144.42K,1:04:04,
,차터커뮤니케이션,385.81,387.03,382.93,1.33,0.35%,140.53K,1:03:38,
,Insmed,18.38,18.75,18.36,-0.12,-0.62%,141.88K,1:04:20,
,코웬 그룹,38.73,38.8,38.72,-0.01,-0.01%,138.92K,1:04:04,
,Ironwood Pharma,11.78,11.83,11.72,0,0.00%,139.85K,1:04:02,
,홀로직,73.97,74.32,73.07,0.12,0.17%,144.14K,1:04:18,
,SIGA Tech,8.95,9.26,8.93,-0.04,-0.44%,137.14K,1:04:18,
,라마 어드벤티징 컴퍼니,99.22,99.73,98.58,0.28,0.28%,138.84K,1:04:00,
,인피네라,6.38,6.46,6.335,0.01,0.16%,142.04K,1:04:17,
,Compugen Ltd,1.015,1.04,0.99,0.005,0.49%,134.92K,1:02:35,
,아카마이,90.92,91.75,90.92,-0.63,-0.69%,139.96K,1:04:16,
,NCM Inc,0.42,0.43,0.412,-0.02,-4.50%,129.28K,1:01:02,
,Accurayorped,2.105,2.16,2.1,-0.045,-2.09%,133.25K,1:04:03,
,Terawulf,0.79,0.85,0.78,0,-0.24%,129.08K,1:03:45,
,Ryanair ADR,76.04,76.45,75.37,-0.38,-0.50%,129.22K,1:02:08,
,Digi International,40.81,40.94,39.26,-0.2,-0.49%,129.45K,1:03:39,
,Alkermes Plc,24.27,24.33,23.71,0.3,1.27%,133.10K,1:03:40,
,오릴리 오토모티브,847.77,854.5,844.86,-4.79,-0.56%,127.12K,1:02:39,
,G-III Apparel,21.43,21.5,20.86,0.42,2.00%,130.83K,1:04:05,
,Jazz Pharma,155.44,155.81,150.78,1.48,0.96%,126.89K,1:03:35,
,옴니셀,49.17,49.9,48.23,0.55,1.12%,128.96K,1:04:17,
,Kratos Defense,9.37,9.4,9.1,0.24,2.69%,126.78K,1:04:21,
,Rigel Pharma,0.72,0.74,0.702,0.009,1.28%,128.48K,1:04:21,
,뉴에그 커머스,1.59,1.66,1.59,-0.07,-4.49%,128.98K,1:03:22,
,AngioDynamics,12.71,12.82,12.52,0.19,1.52%,125.27K,1:04:07,
,코핀,1.565,1.58,1.52,-0.005,-0.32%,117.38K,1:04:04,
,Liveperson,10.7,10.9,10.67,0.04,0.38%,119.06K,1:04:21,
,알토 인그리디언츠,3.485,3.51,3.46,0.015,0.43%,117.25K,1:04:15,
,Yellow,3.105,3.14,3,0.075,2.48%,126.32K,1:04:20,
,ZW Data Action Technologies,0.57,0.6897,0.5655,-0.1196,-17.34%,122.69K,1:03:09,
,Fulton Financial,18.44,18.48,18.28,0.11,0.60%,122.03K,1:03:25,
,시네다임,0.4533,0.463,0.4406,-0.0115,-2.47%,117.00K,1:02:47,
,eHealth,3.55,3.56,3.17,0.15,4.41%,116.63K,1:03:44,
,ACADIA Pharmaceuticals,14.73,14.92,14.72,-0.04,-0.27%,117.11K,1:04:06,
,Coca-Cola European,52.03,52.43,52.03,-0.37,-0.71%,116.76K,1:04:20,
,J.B 헌트트랜스포트서비스,176.68,178.18,176.43,0.48,0.27%,116.15K,1:03:41,
,Perion Network,26.27,26.66,26,0.26,1.00%,112.09K,1:03:16,
,래티스 세미컨덕터,67.54,68.27,67.54,0.01,0.01%,113.87K,1:03:50,
,Ribbon Com,2.52,2.56,2.5,-0.02,-0.79%,123.21K,1:04:15,
,ExlService Hldg,185.94,186.17,185.04,-0.12,-0.06%,116.64K,1:04:14,
,Repligen Corp,170.99,173.77,170.81,-0.65,-0.38%,110.16K,1:03:42,
,메르카도리브레,912.71,927.96,912.71,-8.63,-0.94%,110.15K,1:04:20,
,Middleby Corp,140.13,141.81,139.84,-0.15,-0.11%,114.94K,1:04:21,
,Open Text,29.17,29.76,29.17,-0.45,-1.52%,110.20K,1:04:17,
,Alliance Resource,22.97,23.02,22.5,0.77,3.47%,106.76K,1:03:10,
,BSQUARE Corp,1.105,1.13,1.08,0.045,4.25%,103.82K,1:00:56,
,Immersion Corp,7.165,7.19,7.008,0.165,2.36%,104.20K,1:02:52,
,Light Wonder,64.61,65.08,63.54,0.12,0.19%,103.12K,1:03:21,
,뉴로크린 바이오사이언시스,121.86,122.78,121.26,0.2,0.16%,107.58K,1:04:16,
,Codexis,5.08,5.12,5.01,0.04,0.79%,106.36K,1:04:16,
,엑슨 엔터프라이즈,182.95,185.21,182.95,-0.99,-0.54%,105.34K,1:04:14,
,Madrigal Pharma,67.08,67.14,64.86,1.74,2.66%,109.22K,1:04:13,
,Simply Good Foods,37.71,38.62,37.71,-0.62,-1.62%,100.97K,1:04:03,
,얼라인테크놀로지,191.38,192.49,187.36,1.6,0.84%,111.22K,1:04:03,
,에퀴닉스,669.28,671.19,655.93,6.67,1.01%,105.36K,1:04:12,
,Cross Country,35.36,35.99,34.93,-0.2,-0.56%,97.29K,1:03:52,
,Azenta,57.58,58.52,57.41,-0.17,-0.29%,98.71K,1:04:17,
,FormFactor,22.36,22.54,21.74,0.43,1.98%,100.92K,1:04:09,
,Sanmina Corp,65.66,65.76,65.01,0.26,0.39%,95.02K,1:03:29,
,Descartes Systems,65.61,67,65.52,-1.21,-1.80%,94.87K,1:03:51,
,AAON,76.12,77.04,74.64,0.64,0.85%,90.70K,1:00:33,
,아이덱스 래버러토리스,402.25,404.06,396.76,2.15,0.54%,92.71K,1:04:03,
,Quidel Corp,83.74,85.17,83.49,-1.11,-1.31%,91.01K,1:04:12,
,잭 헨리 앤 어소시에이츠,186.94,189.64,186.94,-1.86,-0.99%,91.49K,1:02:56,
,Rambus Inc,37.15,37.35,36.87,0.36,0.98%,91.15K,1:04:01,
,BioLineRx Ltd,0.7,0.72,0.699,0,0.04%,90.62K,1:03:49,
,체크포인트 소프트웨어 테크놀로지스,131.04,131.88,130.68,0.19,0.15%,93.91K,1:04:03,
,Globus Maritime,1.32,1.34,1.279,-0.09,-6.38%,88.29K,1:01:41,
,Ebix Inc,18.07,18.25,17.66,0.27,1.49%,88.69K,1:04:08,
,Jack In The Box,72.43,73.14,72.31,-0.07,-0.10%,87.53K,1:02:24,
,Cyren,0.878,0.8998,0.8501,0.0001,0.01%,86.20K,0:49:42,
,인사이트 코퍼레이션,77.43,77.95,77.33,-0.4,-0.51%,90.09K,1:04:19,
,Photronics,18.68,18.84,18.62,0.03,0.16%,88.10K,1:04:17,
,LSI Industries,11.582,11.68,11.21,0.242,2.13%,85.46K,1:03:51,
,Rent-A-Center,22.7,22.98,22.55,0.09,0.40%,83.33K,1:04:17,
,Hallador Energy,9.93,9.99,9.46,0.28,2.90%,82.30K,1:04:07,
,Smith Micro Software,2.145,2.21,2.115,0.085,4.13%,83.16K,1:02:31,
,Hawaiian Hldg,13.8,13.93,13.75,0.09,0.66%,84.76K,1:04:19,
,Columbia Bank,33.49,33.58,33.25,0.12,0.36%,82.96K,1:04:03,
,테라다인,90.08,90.86,89.84,-0.14,-0.15%,86.42K,1:04:09,
,Cracker Barrel,114.14,115.14,113.98,0.18,0.16%,82.28K,1:04:16,
,Masimo Corp,140.84,144.1,140.84,-1.12,-0.79%,78.10K,1:03:53,
,Sinclair Broad,18.43,18.51,18.11,0.41,2.28%,78.87K,1:04:16,
,EMCORE Corp,1.39,1.444,1.39,-0.02,-1.42%,76.31K,0:58:43,
,Hollysys Automation Tech,16.78,16.86,16.44,0.25,1.51%,76.21K,0:58:59,
,CECO Envir,11.86,12.19,11.734,-0.38,-3.10%,78.18K,1:04:18,
,AVEO Pharma,14.855,14.86,14.84,-0.005,-0.03%,80.23K,1:03:56,
,파파존스 인터내셔널,82.32,83.2,81.92,-0.2,-0.24%,75.47K,1:01:40,
,Big5 Sporting,12.47,12.65,12.43,-0.2,-1.62%,73.74K,0:57:31,
,NuVasive,37.66,37.77,37.34,-0.08,-0.21%,74.80K,1:03:53,
,노던 트러스트,91.33,91.62,90.89,0.13,0.14%,74.92K,1:03:22,
,EZCORP,10.09,10.11,10,0.05,0.50%,73.26K,1:04:03,
,Standard Biotools,1.345,1.41,1.32,-0.085,-5.94%,75.32K,1:03:49,
,부킹홀딩스,"2,018.77","2,027.57","1,985.21",33.87,1.71%,73.69K,1:04:15,
,PFSweb,11.019,11.38,10.98,0.019,0.18%,71.57K,1:04:21,
,신타스,450.26,453.28,449.62,-4.08,-0.90%,73.70K,1:04:11,
,Acorda Therap,0.64,0.65,0.6,0.021,3.36%,69.35K,1:02:58,
,National Instrume,40,40.16,39.74,-0.01,-0.03%,70.67K,1:04:16,
,Celldex Therapeutics,33.38,34.09,33.31,0.26,0.79%,70.29K,1:03:29,
